Package	FileName	NumberOfChanges	FileType	LOC
org.junit.tests.experimental.theories	ParameterSignatureTest	4	ConcreteClass	57
junit.tests.framework	TestListenerTest	1	ConcreteClass	72
org.junit.runners.model	RunnerBuilder	3	AbstractClass	104
org.junit.runner.notification	Failure	3	ConcreteClass	77
junit.framework	package-info	1	ConcreteClass	4
org.junit.runners	Suite	46	ConcreteClass	130
org.junit.tests.validation	FailedConstructionTest	1	ConcreteClass	28
org.junit.tests.experimental.categories	CategoryTest	14	ConcreteClass	254
org.junit.internal.builders	AllDefaultPossibilitiesBuilder	4	ConcreteClass	57
org.junit.internal	JUnitSystem	1	Interface	8
junit.samples	package-info	1	ConcreteClass	4
org.junit	package-info	1	ConcreteClass	8
org.junit.internal	ComparisonCriteria	8	AbstractClass	76
org.junit.tests.description	AnnotatedDescriptionTest	2	ConcreteClass	96
org.junit.internal.requests	SortingRequest	1	ConcreteClass	25
org.junit.samples	SimpleTest	1	ConcreteClass	39
org.junit.internal.requests	ClassRequest	6	ConcreteClass	26
junit.extensions	RepeatedTest	1	ConcreteClass	38
junit.framework	Test	1	Interface	17
org.junit.tests.junit3compatibility	InitializationErrorForwardCompatibilityTest	3	ConcreteClass	100
org.junit.rules	Timeout	5	ConcreteClass	49
junit.samples	AllTests	1	ConcreteClass	22
org.junit.runner	Request	24	AbstractClass	161
org.junit.tests.experimental.max	MaxStarterTest	37	ConcreteClass	293
org.junit.runner.notification	package-info	1	ConcreteClass	6
org.junit.runner	Computer	8	ConcreteClass	40
org.junit.internal.matchers	StringContains	4	ConcreteClass	31
org.junit.tests.running.methods	TimeoutTest	8	ConcreteClass	170
junit.tests.framework	NotVoidTestCase	1	ConcreteClass	14
org.junit.tests.running.core	CommandLineTest	1	ConcreteClass	67
junit.framework	JUnit4TestAdapterCache	6	ConcreteClass	81
junit.tests.runner	TextRunnerSingleMethodTest	1	ConcreteClass	39
org.junit.samples	package-info	1	ConcreteClass	6
org.junit	Ignore	1	Interface	39
org.junit.internal.matchers	CombinableMatcher	4	ConcreteClass	34
org.junit.tests.experimental.theories.extendingwithstubs	Guesser	5	ConcreteClass	122
org.junit.tests.experimental.theories.extendingwithstubs	ReguessableValue	2	AbstractClass	16
org.junit.internal.runners	InitializationError	3	ConcreteClass	30
org.junit.experimental.theories	ParametersSuppliedBy	1	Interface	12
junit.framework	ComparisonFailure	1	ConcreteClass	52
junit.textui	package-info	1	ConcreteClass	4
org.junit.tests.running.classes	ParentRunnerFilteringTest	1	ConcreteClass	135
org.junit.tests.listening	TextListenerTest	7	ConcreteClass	65
junit.samples	SimpleTest	1	ConcreteClass	66
org.junit	AfterClass	4	Interface	41
junit.tests.framework	NoTestCaseClass	1	ConcreteClass	10
org.junit.samples	ListTest	1	ConcreteClass	77
org.junit.rules	TemporaryFolder	1	ConcreteClass	91
org.junit.tests.experimental.rules	ExternalResourceRuleTest	2	ConcreteClass	37
junit.framework	ComparisonCompactor	1	ConcreteClass	72
junit.tests.framework	InheritedTestCase	1	ConcreteClass	9
org.junit.tests.junit3compatibility	OldTestClassAdaptingListenerTest	3	ConcreteClass	27
org.junit.tests.experimental.theories	ParameterizedAssertionErrorTest	8	ConcreteClass	75
org.junit.tests.junit3compatibility	SuiteMethodTest	6	ConcreteClass	123
org.junit.internal.runners	TestClass	2	ConcreteClass	102
org.junit.runners.model	FrameworkMethod	11	ConcreteClass	145
junit.framework	TestFailure	1	ConcreteClass	58
junit.samples.money	IMoney	1	Interface	45
org.junit.runners	Parameterized	33	ConcreteClass	162
org.junit.experimental.categories	Category	7	Interface	43
junit.tests.framework	NoArgTestCaseTest	1	ConcreteClass	9
org.junit.tests.experimental.theories.runner	WithOnlyTestAnnotations	8	ConcreteClass	80
org.junit.internal	TextListener	7	ConcreteClass	98
org.junit.internal.matchers	Each	4	ConcreteClass	24
org.junit.runners	JUnit4	1	ConcreteClass	22
org.junit.samples.money	package-info	1	ConcreteClass	7
